,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
23,14.0,4.0,Nami,Side.blue,14.0,0.0,209.0,,3.0,6.0,4.0,11.0,23.0,10870.0,0.0,63.0,12395,7702,Other,Few
24,4.0,7.0,Jhin,Side.blue,7.0,3489.0,15401.0,3489.0,4.0,4.25,,16.0,25.0,19560.0,2.0,29.0,148110,14015,Other,Many
25,11.0,,LeeSin,Side.blue,6.0,1225.0,15982.0,1225.0,2.0,,6.0,12.0,,19572.0,2.0,23.0,98419,8064,TopLane_Jungle,Few
26,4.0,14.0,Karma,,17.0,1482.0,4221.0,1482.0,3.0,7.0,4.0,14.0,24.0,14553.0,0.0,98.0,34499,10408,Other,Few
27,7.0,4.0,Xerath,Side.red,10.0,0.0,1084.0,0.0,0.0,16.0,6.0,8.0,20.0,6182.0,0.0,34.0,16368,6282,Other,Few
28,1.0,4.0,Jhin,Side.red,10.0,5423.0,16516.0,5423.0,2.0,11.5,13.0,17.0,28.0,18046.0,3.0,50.0,283652,18800,Other,Many
29,4.0,14.0,Zed,Side.blue,,0.0,4646.0,0.0,,1.25,6.0,14.0,8.0,19492.0,0.0,15.0,86188,10196,Other,Many
30,12.0,,Gragas,,14.0,1659.0,3681.0,1659.0,4.0,5.5,8.0,18.0,45.0,38449.0,1.0,28.0,161825,15960,TopLane_Jungle,Many
31,12.0,4.0,Sylas,,2.0,3743.0,4256.0,3743.0,0.0,19.0,17.0,16.0,13.0,17333.0,2.0,18.0,142827,14354,Other,Many
32,14.0,4.0,Alistar,Side.blue,13.0,0.0,5.0,0.0,8.0,1.75,1.0,12.0,58.0,22706.0,0.0,52.0,28464,7553,Other,Few
33,12.0,4.0,Camille,Side.red,6.0,5571.0,5706.0,5571.0,7.0,,7.0,,,30493.0,1.0,16.0,110378,12237,TopLane_Jungle,Many
34,7.0,4.0,Jhin,Side.red,2.0,0.0,0.0,0.0,7.0,,1.0,9.0,4.0,10856.0,0.0,10.0,38017,4956,Other,Many
35,11.0,4.0,LeeSin,Side.red,6.0,562.0,25482.0,562.0,5.0,2.4,6.0,13.0,12.0,33131.0,1.0,31.0,120027,9547,TopLane_Jungle,Few
36,12.0,4.0,,,10.0,2178.0,4646.0,2178.0,3.0,5.333333333333333,6.0,15.0,25.0,25120.0,0.0,30.0,124845,10910,TopLane_Jungle,Many
37,4.0,12.0,Ryze,Side.blue,3.0,336.0,336.0,336.0,5.0,0.8,,12.0,29.0,19065.0,1.0,19.0,80413,7548,Other,Many
38,4.0,12.0,Ryze,Side.red,19.0,2740.0,11254.0,2740.0,3.0,6.666666666666668,1.0,15.0,25.0,18255.0,0.0,26.0,133858,10237,Other,Many
39,4.0,14.0,Pantheon,Side.red,6.0,57.0,488.0,57.0,6.0,1.0,0.0,9.0,16.0,12497.0,0.0,48.0,23710,5056,Other,Few
40,12.0,4.0,Lissandra,Side.blue,7.0,3350.0,3831.0,3350.0,,4.0,1.0,15.0,40.0,11704.0,2.0,23.0,139823,10554,Other,Many
41,4.0,14.0,Irelia,Side.blue,4.0,4148.0,4388.0,4148.0,8.0,1.0,,12.0,11.0,17350.0,0.0,14.0,80113,7887,Other,Many
42,12.0,4.0,Graves,Side.blue,2.0,651.0,3249.0,651.0,8.0,0.75,4.0,12.0,,18780.0,0.0,22.0,85089,7540,TopLane_Jungle,Many
43,4.0,1.0,MissFortune,Side.red,11.0,9890.0,13278.0,9890.0,6.0,2.5,4.0,13.0,6.0,,3.0,16.0,112950,12848,Other,Many
44,4.0,12.0,,Side.blue,7.0,6866.0,9734.0,6866.0,5.0,2.8,7.0,15.0,20.0,24238.0,3.0,31.0,176473,13778,TopLane_Jungle,Many
45,4.0,11.0,Sejuani,Side.blue,8.0,0.0,11805.0,0.0,1.0,11.0,3.0,13.0,12.0,21354.0,0.0,27.0,135115,9452,TopLane_Jungle,Few
46,4.0,14.0,Lux,Side.blue,5.0,401.0,401.0,,7.0,1.0,2.0,,19.0,11358.0,0.0,66.0,20693,6192,Other,Few
47,4.0,3.0,,Side.blue,10.0,3335.0,15282.0,3335.0,3.0,,8.0,17.0,28.0,20478.0,0.0,42.0,269506,15747,Other,Many
48,,4.0,Talon,,1.0,982.0,2595.0,982.0,6.0,1.0,5.0,18.0,3.0,22274.0,1.0,54.0,248601,15423,Other,Many
49,,4.0,Thresh,Side.blue,15.0,159.0,2196.0,159.0,5.0,3.0,0.0,12.0,21.0,16977.0,0.0,90.0,21299,6926,Other,Few
50,11.0,4.0,Rengar,Side.blue,4.0,3198.0,19963.0,3198.0,8.0,1.375,7.0,12.0,11.0,31791.0,0.0,26.0,118377,9197,TopLane_Jungle,Few
51,4.0,12.0,Leblanc,Side.red,7.0,917.0,2950.0,917.0,4.0,2.5,3.0,13.0,9.0,13241.0,1.0,24.0,74338,8356,Other,Many
52,14.0,4.0,Rakan,Side.red,13.0,729.0,949.0,729.0,5.0,2.6,0.0,12.0,24.0,12384.0,0.0,107.0,19907,7276,Other,Few
53,12.0,4.0,,Side.blue,,7869.0,8288.0,,3.0,6.333333333333332,8.0,15.0,30.0,10364.0,3.0,26.0,132141,12563,Other,Many
54,14.0,4.0,,Side.blue,16.0,83.0,944.0,83.0,12.0,1.4166666666666667,,12.0,41.0,24008.0,0.0,80.0,19505,8023,Other,Few
55,12.0,,Irelia,Side.red,3.0,5532.0,5532.0,5532.0,5.0,3.0,12.0,,12.0,22062.0,3.0,12.0,143283,12929,Other,Many
56,11.0,,Graves,Side.blue,8.0,267.0,35366.0,,6.0,2.6666666666666665,8.0,15.0,11.0,18768.0,2.0,21.0,186533,12480,TopLane_Jungle,Few
57,12.0,4.0,Renekton,Side.red,1.0,1288.0,2711.0,1288.0,3.0,0.3333333333333333,0.0,11.0,3.0,14509.0,0.0,11.0,77659,5816,TopLane_Jungle,Many
58,4.0,12.0,Yasuo,Side.red,7.0,2236.0,8039.0,2236.0,2.0,6.5,6.0,15.0,17.0,15115.0,2.0,16.0,125232,10907,Other,Many
59,14.0,4.0,Leona,Side.red,8.0,0.0,0.0,0.0,5.0,2.6,5.0,11.0,34.0,14585.0,0.0,68.0,18867,7010,Other,Few
60,14.0,4.0,Pyke,Side.blue,12.0,1264.0,3112.0,1264.0,2.0,9.0,6.0,9.0,12.0,9603.0,0.0,30.0,20272,7725,Other,Few
61,12.0,4.0,Ziggs,Side.red,5.0,44217.0,44217.0,44217.0,1.0,17.0,12.0,16.0,13.0,6895.0,7.0,17.0,239226,17011,Other,Many
62,4.0,7.0,,Side.red,3.0,1167.0,1537.0,1167.0,6.0,1.6666666666666667,7.0,11.0,9.0,16142.0,0.0,14.0,82807,10038,Other,Many
63,,4.0,Karma,Side.blue,13.0,555.0,555.0,555.0,7.0,2.0,1.0,12.0,29.0,17230.0,0.0,74.0,33844,7737,Other,Few
64,11.0,4.0,Ekko,Side.blue,5.0,0.0,8128.0,0.0,6.0,1.1666666666666667,2.0,13.0,11.0,34075.0,,18.0,153733,8765,TopLane_Jungle,Few
65,11.0,4.0,LeeSin,Side.blue,5.0,205.0,23446.0,205.0,4.0,2.25,4.0,11.0,12.0,20980.0,0.0,14.0,100448,7812,TopLane_Jungle,Few
66,12.0,4.0,Jayce,Side.red,7.0,9849.0,20875.0,9849.0,2.0,6.5,6.0,14.0,5.0,11442.0,6.0,16.0,140922,12266,TopLane_Jungle,Many
67,14.0,4.0,Darius,Side.blue,9.0,751.0,2712.0,751.0,7.0,1.8571428571428568,4.0,12.0,15.0,23323.0,0.0,121.0,34297,8838,Other,Few
68,11.0,4.0,Olaf,Side.blue,10.0,0.0,38295.0,0.0,5.0,3.0,5.0,17.0,14.0,39666.0,1.0,59.0,189757,12867,TopLane_Jungle,Few
69,7.0,4.0,Aphelios,Side.blue,6.0,2806.0,8932.0,2806.0,5.0,1.6,,12.0,13.0,13637.0,0.0,27.0,101425,9270,Other,Many
70,12.0,4.0,Vex,Side.blue,8.0,2402.0,5859.0,2402.0,4.0,3.0,4.0,14.0,29.0,,1.0,14.0,104621,10557,Other,Many
71,,4.0,Poppy,Side.blue,6.0,0.0,18795.0,0.0,3.0,3.6666666666666665,5.0,14.0,27.0,26708.0,1.0,37.0,133134,9495,TopLane_Jungle,Few
72,,14.0,Leona,Side.blue,12.0,0.0,1356.0,0.0,0.0,13.0,1.0,9.0,22.0,6003.0,0.0,30.0,17326,4713,Other,Few
73,4.0,12.0,,Side.blue,2.0,704.0,853.0,704.0,4.0,0.75,1.0,10.0,0.0,11527.0,0.0,12.0,39507,4740,TopLane_Jungle,Few
74,12.0,14.0,Katarina,Side.blue,1.0,438.0,539.0,438.0,4.0,0.5,1.0,10.0,0.0,8108.0,0.0,14.0,54225,5077,Other,Many
75,4.0,12.0,Leblanc,Side.red,8.0,0.0,0.0,0.0,5.0,1.8,1.0,12.0,12.0,17278.0,0.0,14.0,56441,7804,Other,Many
76,4.0,12.0,Viktor,Side.blue,3.0,522.0,2252.0,522.0,1.0,3.0,0.0,12.0,4.0,5475.0,0.0,12.0,86320,7527,TopLane_Jungle,Many
77,11.0,4.0,Kayn,Side.blue,5.0,0.0,21915.0,0.0,12.0,1.0,7.0,14.0,12.0,30834.0,0.0,26.0,165140,11588,TopLane_Jungle,Few
78,12.0,4.0,TwistedFate,Side.blue,19.0,7331.0,9471.0,,4.0,6.5,7.0,18.0,71.0,22699.0,,66.0,177985,16219,Other,Many
79,4.0,7.0,Jinx,Side.red,2.0,12795.0,15515.0,12795.0,1.0,11.0,9.0,11.0,8.0,,4.0,18.0,117037,10915,Other,Many
80,11.0,4.0,LeeSin,Side.blue,5.0,3723.0,28645.0,3723.0,5.0,3.4,12.0,15.0,17.0,33809.0,4.0,65.0,146607,15340,TopLane_Jungle,Few
81,12.0,4.0,Akshan,Side.red,1.0,3129.0,4420.0,3129.0,7.0,0.7142857142857143,4.0,13.0,0.0,17970.0,0.0,23.0,109542,9036,TopLane_Jungle,Many
82,7.0,4.0,Caitlyn,Side.red,1.0,3291.0,3291.0,3291.0,4.0,1.5,5.0,10.0,5.0,6490.0,0.0,13.0,68470,7783,Other,Many
83,7.0,4.0,Jinx,Side.red,10.0,12433.0,24904.0,12433.0,,7.0,11.0,16.0,16.0,14386.0,5.0,36.0,208974,16963,Other,Many
84,4.0,12.0,Jax,Side.blue,1.0,4740.0,8922.0,4740.0,5.0,1.8,8.0,16.0,16.0,29391.0,,12.0,153193,14320,TopLane_Jungle,Many
85,4.0,12.0,Corki,Side.red,4.0,2301.0,4653.0,2301.0,7.0,0.5714285714285714,0.0,13.0,1.0,16409.0,0.0,13.0,119024,8589,Other,Many
86,4.0,7.0,Jhin,Side.red,6.0,2610.0,2610.0,2610.0,0.0,9.0,3.0,10.0,14.0,5610.0,2.0,5.0,73193,7853,Other,Many
87,11.0,4.0,LeeSin,Side.blue,14.0,2176.0,30696.0,2176.0,6.0,2.833333333333333,3.0,16.0,22.0,34407.0,0.0,34.0,160663,11660,TopLane_Jungle,Few
88,12.0,4.0,Leblanc,Side.red,16.0,1462.0,1547.0,1462.0,5.0,4.6,7.0,17.0,41.0,,,35.0,109384,13021,Other,Many
89,11.0,4.0,LeeSin,Side.red,7.0,1078.0,20125.0,1078.0,8.0,3.125,18.0,17.0,24.0,54530.0,0.0,34.0,205435,17343,TopLane_Jungle,Few
90,4.0,14.0,Karma,Side.red,10.0,487.0,,487.0,3.0,4.333333333333333,3.0,15.0,11.0,9682.0,,88.0,14730,10782,Other,Few
91,11.0,4.0,Ekko,Side.red,12.0,218.0,27835.0,,12.0,1.6666666666666667,8.0,16.0,26.0,39391.0,0.0,33.0,212465,15869,TopLane_Jungle,Few
92,7.0,,Jhin,Side.blue,7.0,2911.0,5681.0,2911.0,6.0,2.1666666666666665,6.0,17.0,27.0,22426.0,1.0,34.0,216820,14601,Other,Many
93,14.0,4.0,Karma,Side.blue,,348.0,348.0,348.0,11.0,1.9090909090909087,1.0,15.0,28.0,21713.0,0.0,90.0,36949,9378,Other,Few
94,4.0,11.0,XinZhao,Side.blue,31.0,5565.0,35633.0,5565.0,6.0,6.5,8.0,18.0,41.0,62267.0,2.0,39.0,215148,16897,TopLane_Jungle,Few
95,4.0,11.0,RekSai,Side.blue,14.0,6055.0,31580.0,6055.0,4.0,5.75,9.0,14.0,20.0,19697.0,3.0,24.0,117319,13088,TopLane_Jungle,Few
96,4.0,11.0,Graves,Side.blue,5.0,,13951.0,2676.0,7.0,2.0,9.0,13.0,17.0,,2.0,,130436,12226,TopLane_Jungle,Few
97,4.0,12.0,Graves,Side.blue,1.0,889.0,889.0,889.0,2.0,1.5,2.0,11.0,7.0,7243.0,0.0,13.0,66190,6311,TopLane_Jungle,Many
98,12.0,4.0,Sett,,4.0,2365.0,2584.0,2365.0,8.0,1.125,5.0,13.0,18.0,26492.0,1.0,19.0,72109,8182,Other,Many
99,12.0,4.0,TwistedFate,Side.red,8.0,1114.0,3996.0,1114.0,8.0,1.5,4.0,12.0,48.0,18937.0,1.0,18.0,86721,8914,Other,Many
100,4.0,11.0,Graves,Side.red,6.0,3785.0,30752.0,3785.0,2.0,12.0,18.0,15.0,18.0,15070.0,2.0,29.0,188495,14675,TopLane_Jungle,Few
101,4.0,7.0,Caitlyn,Side.red,1.0,159.0,159.0,159.0,6.0,0.3333333333333333,,,7.0,10252.0,0.0,12.0,44549,5405,Other,Few
102,7.0,4.0,Jhin,Side.red,11.0,3118.0,11467.0,3118.0,6.0,2.833333333333333,6.0,17.0,15.0,25794.0,0.0,,178215,13461,Other,Many
103,12.0,4.0,Syndra,Side.blue,14.0,1395.0,1395.0,1395.0,3.0,,3.0,13.0,34.0,13055.0,1.0,19.0,91649,8743,Other,Many
104,4.0,7.0,Ezreal,Side.red,5.0,5490.0,18949.0,5490.0,7.0,2.0,9.0,14.0,2.0,20090.0,1.0,20.0,170724,13041,Other,Many
105,4.0,14.0,Lulu,Side.blue,10.0,402.0,,402.0,7.0,1.4285714285714286,0.0,13.0,31.0,17412.0,0.0,,16221,8309,Other,Few
106,4.0,12.0,Vex,Side.red,6.0,1498.0,3335.0,1498.0,4.0,3.75,9.0,17.0,49.0,17719.0,0.0,23.0,198190,15187,Other,Many
107,4.0,14.0,Jayce,Side.red,17.0,19837.0,33640.0,19837.0,6.0,6.333333333333332,21.0,17.0,13.0,24594.0,7.0,28.0,214002,20811,Other,Many
108,4.0,14.0,Nautilus,Side.blue,7.0,0.0,0.0,0.0,1.0,8.0,1.0,8.0,28.0,,0.0,22.0,15543,4649,Other,Few
109,12.0,4.0,Kled,Side.red,14.0,7078.0,17639.0,7078.0,,7.333333333333332,8.0,15.0,13.0,38711.0,2.0,21.0,144366,13633,TopLane_Jungle,Many
110,12.0,4.0,Kassadin,Side.red,5.0,2731.0,11268.0,2731.0,7.0,2.571428571428572,13.0,17.0,14.0,24342.0,1.0,13.0,178283,17050,Other,Many
111,4.0,7.0,Ezreal,Side.red,6.0,3426.0,4637.0,3426.0,10.0,1.3,7.0,14.0,0.0,21976.0,0.0,32.0,142642,12407,Other,Many
112,11.0,4.0,LeeSin,Side.red,6.0,3048.0,25693.0,3048.0,5.0,2.0,4.0,14.0,15.0,31415.0,,26.0,131090,10069,TopLane_Jungle,Few
113,4.0,,Lulu,Side.blue,29.0,486.0,1481.0,486.0,6.0,4.833333333333333,0.0,16.0,38.0,17514.0,0.0,91.0,16965,9478,Other,Few
114,4.0,11.0,Elise,Side.blue,9.0,3514.0,21872.0,3514.0,3.0,6.666666666666668,11.0,13.0,17.0,17889.0,2.0,31.0,112692,11742,TopLane_Jungle,Few
115,,4.0,,Side.red,0.0,2502.0,6313.0,2502.0,4.0,0.5,2.0,13.0,11.0,15370.0,0.0,21.0,132177,8498,TopLane_Jungle,Many
116,12.0,4.0,Malphite,Side.red,5.0,4123.0,4197.0,4123.0,6.0,1.8333333333333333,6.0,13.0,34.0,21417.0,1.0,13.0,85270,9379,TopLane_Jungle,Many
117,12.0,4.0,Jax,Side.red,2.0,1359.0,4855.0,1359.0,3.0,,1.0,10.0,8.0,10909.0,0.0,14.0,50032,5564,TopLane_Jungle,Few
118,4.0,12.0,Jax,Side.red,14.0,2041.0,5254.0,2041.0,9.0,2.0,4.0,15.0,27.0,33106.0,1.0,23.0,107165,10371,TopLane_Jungle,Many
119,4.0,11.0,Nidalee,Side.red,14.0,,26394.0,5373.0,6.0,4.5,13.0,17.0,5.0,35473.0,2.0,41.0,189702,15876,TopLane_Jungle,Few
120,4.0,12.0,Sylas,Side.red,7.0,,1975.0,1975.0,7.0,2.0,7.0,13.0,20.0,21736.0,1.0,10.0,73128,9135,Other,Many
121,6.0,14.0,Vladimir,Side.red,7.0,2796.0,2989.0,2796.0,4.0,4.0,9.0,13.0,4.0,21094.0,1.0,8.0,79862,8996,TopLane_Jungle,Many
122,4.0,12.0,Vex,Side.red,10.0,449.0,,449.0,10.0,1.9,9.0,14.0,25.0,22558.0,0.0,10.0,120368,12030,Other,Many
123,4.0,14.0,Yasuo,Side.blue,14.0,,18068.0,1842.0,,2.4444444444444446,8.0,17.0,38.0,32477.0,1.0,29.0,202161,14928,Other,Many
124,4.0,12.0,Xerath,Side.red,6.0,4349.0,4349.0,4349.0,3.0,,9.0,15.0,7.0,6891.0,2.0,32.0,121488,13365,Other,Many
125,12.0,4.0,Graves,Side.red,3.0,13925.0,30215.0,13925.0,5.0,3.4,14.0,18.0,14.0,34966.0,8.0,20.0,225807,17028,TopLane_Jungle,Many
126,4.0,12.0,Ziggs,,7.0,31096.0,39855.0,31096.0,5.0,2.2,4.0,16.0,9.0,11971.0,6.0,16.0,227570,14469,Other,Many
127,12.0,4.0,Corki,Side.blue,4.0,3792.0,5679.0,3792.0,8.0,0.875,3.0,13.0,3.0,16814.0,1.0,24.0,110542,10229,Other,Many
128,12.0,4.0,Orianna,Side.blue,3.0,376.0,376.0,376.0,3.0,1.0,0.0,11.0,15.0,10159.0,0.0,8.0,50879,5147,Other,Many
129,4.0,7.0,Jhin,Side.blue,3.0,0.0,643.0,0.0,9.0,0.6666666666666666,3.0,13.0,17.0,22026.0,0.0,21.0,140132,10326,Other,Many
130,4.0,1.0,Jhin,Side.red,0.0,453.0,616.0,453.0,3.0,0.3333333333333333,1.0,11.0,16.0,11505.0,0.0,22.0,85736,7275,Other,Many
131,12.0,4.0,Graves,Side.red,0.0,1524.0,20924.0,1524.0,6.0,0.6666666666666666,4.0,16.0,12.0,24511.0,1.0,36.0,177386,12516,TopLane_Jungle,Many
132,11.0,4.0,RekSai,Side.red,3.0,3198.0,11686.0,3198.0,7.0,,4.0,12.0,12.0,27026.0,0.0,21.0,111688,9077,TopLane_Jungle,Few
133,4.0,7.0,Caitlyn,Side.red,8.0,6952.0,17199.0,6952.0,4.0,5.75,15.0,16.0,16.0,15500.0,,27.0,190291,16016,Other,Many
134,4.0,11.0,Viego,Side.red,3.0,0.0,5336.0,0.0,4.0,1.75,4.0,,7.0,16577.0,0.0,13.0,69690,6164,TopLane_Jungle,Few
135,12.0,4.0,Viktor,Side.red,3.0,2657.0,2657.0,2657.0,5.0,0.8,,13.0,18.0,12019.0,1.0,11.0,99265,8041,Other,Many
136,14.0,4.0,Gragas,Side.blue,18.0,525.0,3225.0,525.0,6.0,3.0,0.0,12.0,43.0,18718.0,0.0,53.0,23215,7783,Other,Few
137,4.0,12.0,Jayce,Side.blue,13.0,9817.0,31928.0,9817.0,10.0,2.4,11.0,18.0,10.0,27531.0,2.0,48.0,280067,18953,TopLane_Jungle,Many
138,11.0,4.0,Poppy,Side.red,,0.0,15904.0,0.0,7.0,1.7142857142857142,6.0,13.0,31.0,28149.0,1.0,38.0,118564,9590,TopLane_Jungle,Few
139,4.0,7.0,Jhin,Side.blue,12.0,1906.0,3827.0,1906.0,11.0,1.7272727272727273,7.0,14.0,28.0,22389.0,0.0,20.0,145822,13389,Other,Many
140,,14.0,Nautilus,Side.blue,2.0,59.0,59.0,59.0,3.0,1.6666666666666667,3.0,8.0,42.0,6465.0,0.0,24.0,15997,4491,Other,Few
141,,12.0,Sett,Side.blue,10.0,1572.0,2692.0,1572.0,6.0,3.6666666666666665,12.0,17.0,34.0,43633.0,,38.0,133100,14322,TopLane_Jungle,Many
142,14.0,4.0,Rakan,Side.blue,15.0,354.0,458.0,354.0,5.0,3.8,4.0,13.0,21.0,18141.0,1.0,76.0,24380,8029,Other,Few
143,11.0,4.0,JarvanIV,Side.red,11.0,0.0,,0.0,10.0,1.2,1.0,12.0,16.0,23322.0,0.0,27.0,103488,8120,TopLane_Jungle,Few
144,11.0,4.0,XinZhao,Side.blue,4.0,935.0,34301.0,935.0,0.0,12.0,8.0,13.0,15.0,20325.0,0.0,30.0,123917,10498,TopLane_Jungle,Few
145,14.0,7.0,Yuumi,Side.red,5.0,142.0,142.0,142.0,7.0,0.8571428571428571,1.0,7.0,2.0,6926.0,0.0,28.0,6640,4978,Other,Few
146,12.0,4.0,,Side.blue,15.0,956.0,2898.0,,3.0,6.333333333333332,4.0,14.0,46.0,19349.0,,11.0,69526,9058,TopLane_Jungle,Many
147,4.0,11.0,Graves,Side.blue,4.0,1601.0,11484.0,1601.0,6.0,1.3333333333333333,4.0,12.0,12.0,15330.0,1.0,10.0,117352,8603,TopLane_Jungle,Few
148,1.0,4.0,Jhin,Side.red,0.0,0.0,0.0,0.0,5.0,0.2,1.0,9.0,4.0,6716.0,0.0,6.0,37854,4822,Other,Few
149,14.0,4.0,Leona,Side.blue,10.0,121.0,190.0,,4.0,2.5,0.0,9.0,35.0,13437.0,0.0,46.0,21133,5618,Other,Few
150,12.0,,Jayce,Side.red,6.0,1758.0,,1758.0,8.0,1.125,3.0,14.0,9.0,17908.0,1.0,21.0,121095,9669,TopLane_Jungle,Many
151,12.0,4.0,Corki,Side.red,2.0,,1676.0,1239.0,,1.5,4.0,12.0,,9207.0,0.0,7.0,73275,8858,Other,Many
152,14.0,4.0,Karma,Side.blue,8.0,250.0,1251.0,250.0,5.0,1.6,0.0,14.0,19.0,16346.0,0.0,80.0,21574,6463,Other,Few
153,4.0,14.0,Karma,Side.red,15.0,858.0,1023.0,858.0,8.0,1.875,0.0,12.0,22.0,21412.0,0.0,87.0,25779,7624,Other,Few
154,3.0,4.0,Samira,Side.blue,9.0,7509.0,9542.0,7509.0,4.0,5.5,13.0,12.0,6.0,17270.0,2.0,14.0,103647,13139,Other,Many
155,4.0,14.0,Leona,Side.red,13.0,125.0,488.0,125.0,5.0,3.0,2.0,12.0,,16663.0,0.0,46.0,15143,7260,Other,Few
156,14.0,4.0,Sett,Side.red,15.0,398.0,454.0,398.0,3.0,5.666666666666668,2.0,,40.0,14537.0,0.0,75.0,32732,7840,Other,Few
157,7.0,4.0,Jinx,Side.red,9.0,13951.0,24599.0,13951.0,1.0,18.0,9.0,13.0,10.0,11146.0,4.0,11.0,144872,12350,Other,Many
158,12.0,,Renekton,Side.blue,5.0,4136.0,6601.0,4136.0,5.0,2.2,6.0,13.0,17.0,24162.0,2.0,23.0,113199,10297,TopLane_Jungle,Many
159,4.0,14.0,Lux,Side.red,16.0,821.0,1396.0,821.0,9.0,2.2222222222222223,4.0,13.0,48.0,16801.0,0.0,88.0,50178,10428,Other,Few
160,12.0,4.0,Gragas,Side.red,15.0,,9612.0,4301.0,5.0,3.6,3.0,16.0,67.0,33719.0,2.0,26.0,107582,10716,TopLane_Jungle,Many
161,7.0,4.0,Ezreal,Side.red,12.0,908.0,11072.0,908.0,9.0,2.2222222222222223,8.0,,2.0,,0.0,20.0,192953,14996,Other,Many
